task_id,team,role,user_id,task_name,description,priority,expected_duration,created_at,completed_at,completion_time,duration_error
7718,Engineering,Backend Engineer,31,Performance profiling,Performance profiling for engineering team by backend engineer.,Low,9.0,2024-08-21 11:14:00,2024-08-22 13:28:41.744394,26.24,17.24
2749,Engineering,Backend Engineer,85,Integration testing,Integration testing for engineering team by backend engineer.,Low,5.0,2024-08-21 11:19:00,2024-08-21 16:55:51.890839,5.61,0.6100000000000003
8938,Engineering,Data Engineer,170,Write unit tests,Write unit tests for engineering team by data engineer.,Low,10.0,2024-08-21 11:47:00,2024-08-23 14:30:11.607558,50.72,40.72
6859,Engineering,QA Engineer,26,Database schema update,Database schema update for engineering team by qa engineer.,Medium,2.0,2024-08-21 11:50:00,2024-08-21 15:49:46.708486,4.0,2.0
882,Engineering,QA Engineer,54,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,2.0,2024-08-21 11:54:00,2024-08-21 15:36:51.819800,3.71,1.71
3,Finance,Financial Analyst,163,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,6.0,2024-08-21 11:55:00,2024-08-22 13:04:00.984121,25.15,19.15
6371,Customer Support,Support Agent,61,Respond to ticket,Respond to ticket for customer support team by support agent.,Low,1.0,2024-08-21 12:22:00,2024-08-21 14:23:17.040480,2.02,1.02
7369,Marketing,Content Writer,195,Write blog post,Write blog post for marketing team by content writer.,Low,3.0,2024-08-21 12:24:00,2024-08-22 09:11:37.932025,20.79,17.79
1008,Engineering,QA Engineer,91,Integration testing,Integration testing for engineering team by qa engineer.,Low,5.0,2024-08-21 12:30:00,2024-08-21 16:36:35.912209,4.11,-0.8899999999999997
4134,Engineering,QA Engineer,125,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,10.0,2024-08-21 12:45:00,2024-08-23 10:16:32.397026,45.53,35.53
4765,Engineering,Backend Engineer,119,Implement new endpoint,Implement new endpoint for engineering team by backend engineer.,Low,11.0,2024-08-21 12:50:00,2024-08-23 14:06:10.974925,49.27,38.27
9773,Engineering,Frontend Engineer,48,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,4.0,2024-08-21 12:51:00,2024-08-22 09:32:42.099127,20.7,16.7
7748,Marketing,Content Writer,3,Write blog post,Write blog post for marketing team by content writer.,Low,3.0,2024-08-21 12:51:00,2024-08-22 15:11:41.305897,26.34,23.34
7163,Engineering,QA Engineer,46,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,11.0,2024-08-21 12:53:00,2024-08-23 13:03:27.049825,48.17,37.17
6112,Engineering,Data Engineer,144,Write unit tests,Write unit tests for engineering team by data engineer.,Low,9.0,2024-08-21 12:55:00,2024-08-23 11:10:38.486773,46.26,37.26
7578,Engineering,Backend Engineer,126,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,2.0,2024-08-21 13:00:00,2024-08-21 14:25:51.462422,1.43,-0.5700000000000001
873,Operations,Logistics Coordinator,96,Inventory check,Inventory check for operations team by logistics coordinator.,Low,8.0,2024-08-21 13:01:00,2024-08-23 16:47:18.660319,51.77,43.77
7275,Engineering,QA Engineer,49,Write frontend feature,Write frontend feature for engineering team by qa engineer.,Low,6.0,2024-08-21 13:01:00,2024-08-22 11:34:55.799606,22.57,16.57
1294,Marketing,Content Writer,86,Schedule social posts,Schedule social posts for marketing team by content writer.,Low,4.0,2024-08-21 13:01:00,2024-08-22 11:36:36.132121,22.59,18.59
7571,Engineering,Data Engineer,146,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,9.0,2024-08-21 13:12:00,2024-08-23 14:13:55.677533,49.03,40.03
154,Engineering,Frontend Engineer,80,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,9.0,2024-08-21 13:14:00,2024-08-23 09:18:25.839095,44.07,35.07
5308,Finance,Accountant,180,Invoice processing,Invoice processing for finance team by accountant.,Low,8.0,2024-08-21 13:24:00,2024-08-22 16:18:12.941586,26.9,18.9
6843,Engineering,Frontend Engineer,126,Performance profiling,Performance profiling for engineering team by frontend engineer.,Low,5.0,2024-08-21 13:45:00,2024-08-22 16:13:06.862661,26.47,21.47
2533,Engineering,QA Engineer,6,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,6.0,2024-08-21 13:50:00,2024-08-22 13:02:01.353404,23.2,17.2
2502,Customer Support,Support Agent,56,Customer follow-up,Customer follow-up for customer support team by support agent.,Low,1.0,2024-08-21 13:53:00,2024-08-21 14:29:58.601153,0.62,-0.38
2869,Engineering,Data Engineer,88,Database schema update,Database schema update for engineering team by data engineer.,Medium,8.0,2024-08-21 13:57:00,2024-08-23 10:49:21.331489,44.87,36.87
1346,Engineering,Backend Engineer,94,Write unit tests,Write unit tests for engineering team by backend engineer.,Low,11.0,2024-08-21 14:01:00,2024-08-23 09:39:24.985894,43.64,32.64
2676,Finance,Accountant,6,Invoice processing,Invoice processing for finance team by accountant.,Low,6.0,2024-08-21 14:19:00,2024-08-22 15:06:33.504959,24.79,18.79
8456,Engineering,Frontend Engineer,143,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,4.0,2024-08-21 14:24:00,2024-08-22 13:21:54.767518,22.97,18.97
6213,Engineering,QA Engineer,57,Database schema update,Database schema update for engineering team by qa engineer.,Medium,3.0,2024-08-21 14:26:00,2024-08-21 16:25:03.002925,1.98,-1.02
2358,Engineering,Data Engineer,151,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,5.0,2024-08-21 14:30:00,2024-08-22 14:05:58.094942,23.6,18.6
2728,Marketing,SEO Specialist,4,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,8.0,2024-08-21 14:40:00,2024-08-23 13:08:30.501475,46.48,38.48
9676,Finance,Financial Analyst,98,Invoice processing,Invoice processing for finance team by financial analyst.,Low,4.0,2024-08-21 14:40:00,2024-08-22 12:09:54.522656,21.5,17.5
2056,Customer Support,Support Agent,189,Respond to ticket,Respond to ticket for customer support team by support agent.,Low,4.0,2024-08-21 14:53:00,2024-08-22 12:30:52.983519,21.63,17.63
673,Engineering,Backend Engineer,165,Fix backend API bug,Fix backend API bug for engineering team by backend engineer.,High,8.0,2024-08-21 14:55:00,2024-08-22 15:46:28.698073,24.86,16.86
9594,Engineering,Data Engineer,160,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,7.0,2024-08-21 15:07:00,2024-08-23 11:01:40.302446,43.91,36.91
8787,Operations,Logistics Coordinator,89,Inventory check,Inventory check for operations team by logistics coordinator.,Low,6.0,2024-08-21 15:19:00,2024-08-23 13:54:07.959978,46.59,40.59
8722,Operations,Logistics Coordinator,24,Process documentation,Process documentation for operations team by logistics coordinator.,Low,6.0,2024-08-21 15:19:00,2024-08-23 09:00:20.921253,41.69,35.69
4121,Marketing,Content Writer,79,Write blog post,Write blog post for marketing team by content writer.,Low,10.0,2024-08-21 15:30:00,2024-08-23 10:23:29.713259,42.89,32.89
5217,Engineering,Data Engineer,166,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,12.0,2024-08-21 15:57:00,2024-08-23 15:59:22.780801,48.04,36.04
3397,Customer Support,Support Agent,45,Create KB article,Create KB article for customer support team by support agent.,Low,1.0,2024-08-21 16:10:00,2024-08-21 16:40:00.000000,0.5,-0.5
2722,Operations,Operations Associate,61,Process documentation,Process documentation for operations team by operations associate.,Low,3.0,2024-08-21 16:21:00,2024-08-22 16:17:44.113592,23.95,20.95
765,Engineering,Data Engineer,140,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,4.0,2024-08-21 16:23:00,2024-08-22 14:03:03.183734,21.67,17.67
9305,Operations,Operations Associate,92,Inventory check,Inventory check for operations team by operations associate.,Low,2.0,2024-08-21 16:25:00,2024-08-22 10:27:20.274686,18.04,16.04
8661,Finance,Accountant,180,Invoice processing,Invoice processing for finance team by accountant.,Low,2.0,2024-08-21 16:40:00,2024-08-22 09:39:24.010583,16.99,14.989999999999998
9161,Engineering,QA Engineer,199,Integration testing,Integration testing for engineering team by qa engineer.,Low,3.0,2024-08-21 16:42:00,2024-08-22 10:28:32.956636,17.78,14.780000000000001
4431,Customer Support,Support Agent,193,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,3.0,2024-08-21 16:52:00,2024-08-22 12:45:03.382612,19.88,16.88
5673,Engineering,Frontend Engineer,78,Performance profiling,Performance profiling for engineering team by frontend engineer.,Low,2.0,2024-08-21 16:53:00,2024-08-22 16:13:00.718330,23.33,21.33
6900,Customer Support,Support Agent,106,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,1.0,2024-08-22 09:00:00,2024-08-22 09:30:00.000000,0.5,-0.5
3550,Engineering,Data Engineer,24,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,4.0,2024-08-22 09:03:00,2024-08-22 14:47:31.996292,5.74,1.7400000000000002
5654,Customer Support,Technical Support,173,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,2.0,2024-08-22 09:14:00,2024-08-22 13:15:06.077699,4.02,2.0199999999999996
360,Customer Support,Technical Support,124,Resolve technical issue,Resolve technical issue for customer support team by technical support.,High,4.0,2024-08-22 09:21:00,2024-08-22 14:32:29.954308,5.19,1.1900000000000004
537,Operations,Logistics Coordinator,36,Process documentation,Process documentation for operations team by logistics coordinator.,Low,6.0,2024-08-22 09:27:00,2024-08-22 16:31:30.447077,7.08,1.08
6505,Engineering,Backend Engineer,172,Refactor UI component,Refactor UI component for engineering team by backend engineer.,Low,4.0,2024-08-22 09:28:00,2024-08-22 11:32:09.880618,2.07,-1.9300000000000002
1747,Engineering,Frontend Engineer,9,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,2.0,2024-08-22 09:28:00,2024-08-22 12:28:46.190435,3.01,1.0099999999999998
8304,Marketing,Content Writer,119,Keyword research,Keyword research for marketing team by content writer.,Low,2.0,2024-08-22 09:38:00,2024-08-22 11:45:09.065925,2.12,0.1200000000000001
8652,Customer Support,Support Agent,64,Respond to ticket,Respond to ticket for customer support team by support agent.,Low,1.0,2024-08-22 09:54:00,2024-08-22 10:44:50.969987,0.85,-0.15000000000000002
2954,Marketing,Social Media Manager,28,Prepare campaign assets,Prepare campaign assets for marketing team by social media manager.,Medium,6.0,2024-08-22 10:02:00,2024-08-23 12:15:28.929763,26.22,20.22
2431,Marketing,Content Writer,84,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,10.0,2024-08-22 10:04:00,2024-08-26 09:22:36.989592,95.31,85.31
4922,Engineering,Data Engineer,45,Write unit tests,Write unit tests for engineering team by data engineer.,Low,12.0,2024-08-22 10:05:00,2024-08-26 09:59:12.228185,95.9,83.9
3501,Customer Support,Technical Support,187,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,4.0,2024-08-22 10:09:00,2024-08-22 15:20:07.936360,5.19,1.1900000000000004
3185,Engineering,QA Engineer,168,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,11.0,2024-08-22 10:10:00,2024-08-26 12:57:00.778400,98.78,87.78
4193,Engineering,Backend Engineer,67,Integration testing,Integration testing for engineering team by backend engineer.,Low,11.0,2024-08-22 10:10:00,2024-08-23 16:10:47.022778,30.01,19.01
9341,Engineering,QA Engineer,167,Implement new endpoint,Implement new endpoint for engineering team by qa engineer.,Low,10.0,2024-08-22 10:12:00,2024-08-26 09:25:01.627297,95.22,85.22
5277,Customer Support,Technical Support,38,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,2.0,2024-08-22 10:12:00,2024-08-22 14:05:46.081479,3.9,1.9
2314,Customer Support,Support Agent,77,Resolve technical issue,Resolve technical issue for customer support team by support agent.,High,4.0,2024-08-22 10:14:00,2024-08-22 15:16:57.615739,5.05,1.0499999999999998
9166,Engineering,Data Engineer,73,Refactor UI component,Refactor UI component for engineering team by data engineer.,Low,7.0,2024-08-22 10:16:00,2024-08-23 09:23:31.122071,23.13,16.13
8268,Operations,Logistics Coordinator,88,Inventory check,Inventory check for operations team by logistics coordinator.,Low,4.0,2024-08-22 10:19:00,2024-08-22 15:53:44.557850,5.58,1.58
8440,Engineering,Data Engineer,37,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,9.0,2024-08-22 10:23:00,2024-08-23 11:32:59.667421,25.17,16.17
839,Operations,Operations Associate,44,Process documentation,Process documentation for operations team by operations associate.,Low,2.0,2024-08-22 10:38:00,2024-08-22 13:04:36.878429,2.44,0.43999999999999995
3608,Engineering,Data Engineer,145,Database schema update,Database schema update for engineering team by data engineer.,Medium,3.0,2024-08-22 10:38:00,2024-08-22 15:51:46.333199,5.23,2.2300000000000004
8078,Customer Support,Support Agent,172,Create KB article,Create KB article for customer support team by support agent.,Low,3.0,2024-08-22 10:39:00,2024-08-22 14:13:11.696008,3.57,0.5699999999999998
8230,Customer Support,Support Agent,47,Create KB article,Create KB article for customer support team by support agent.,Low,3.0,2024-08-22 10:42:00,2024-08-22 13:39:22.381115,2.96,-0.040000000000000036
3126,Engineering,Data Engineer,24,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,3.0,2024-08-22 10:46:00,2024-08-22 13:40:38.533526,2.91,-0.08999999999999986
4598,Engineering,QA Engineer,83,Integration testing,Integration testing for engineering team by qa engineer.,Low,4.0,2024-08-22 10:53:00,2024-08-22 15:01:11.455140,4.14,0.13999999999999968
450,Customer Support,Technical Support,130,Resolve technical issue,Resolve technical issue for customer support team by technical support.,High,2.0,2024-08-22 11:26:00,2024-08-22 14:14:08.611453,2.8,0.7999999999999998
3367,Operations,Operations Associate,115,Process documentation,Process documentation for operations team by operations associate.,Low,8.0,2024-08-22 11:28:00,2024-08-23 14:56:26.059691,27.47,19.47
1737,Finance,Accountant,50,Create budget forecast,Create budget forecast for finance team by accountant.,Low,4.0,2024-08-22 11:31:00,2024-08-22 16:21:09.174477,4.84,0.8399999999999999
6420,Engineering,Backend Engineer,68,Write frontend feature,Write frontend feature for engineering team by backend engineer.,Low,11.0,2024-08-22 11:39:00,2024-08-26 10:12:54.320303,94.57,83.57
2667,Finance,Financial Analyst,14,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,3.0,2024-08-22 11:45:00,2024-08-23 09:14:19.154684,21.49,18.49
3113,Engineering,QA Engineer,88,Performance profiling,Performance profiling for engineering team by qa engineer.,Low,5.0,2024-08-22 11:46:00,2024-08-22 16:55:34.154209,5.16,0.16000000000000014
4940,Finance,Accountant,119,Invoice processing,Invoice processing for finance team by accountant.,Low,7.0,2024-08-22 11:50:00,2024-08-23 13:12:00.790909,25.37,18.37
9890,Marketing,Social Media Manager,8,Schedule social posts,Schedule social posts for marketing team by social media manager.,Low,8.0,2024-08-22 11:51:00,2024-08-23 13:58:02.148422,26.12,18.12
6889,Engineering,QA Engineer,6,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,5.0,2024-08-22 11:52:00,2024-08-22 15:39:11.728501,3.79,-1.21
112,Engineering,Backend Engineer,82,Database schema update,Database schema update for engineering team by backend engineer.,Medium,3.0,2024-08-22 11:53:00,2024-08-22 15:14:21.985589,3.36,0.3599999999999999
372,Operations,Logistics Coordinator,35,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,5.0,2024-08-22 11:53:00,2024-08-23 09:58:34.795336,22.09,17.09
1347,Engineering,Frontend Engineer,86,Integration testing,Integration testing for engineering team by frontend engineer.,Low,8.0,2024-08-22 12:29:00,2024-08-23 13:46:03.863745,25.28,17.28
7041,Marketing,Content Writer,87,Email campaign setup,Email campaign setup for marketing team by content writer.,Medium,3.0,2024-08-22 12:32:00,2024-08-26 09:23:56.487251,92.87,89.87
3353,Engineering,QA Engineer,98,Database schema update,Database schema update for engineering team by qa engineer.,Medium,12.0,2024-08-22 12:41:00,2024-08-28 09:08:48.671818,140.46,128.46
2250,Engineering,QA Engineer,75,Data pipeline monitoring,Data pipeline monitoring for engineering team by qa engineer.,Low,12.0,2024-08-22 12:52:00,2024-08-26 12:39:23.518260,95.79,83.79
7628,Operations,Logistics Coordinator,51,Resource planning,Resource planning for operations team by logistics coordinator.,Medium,8.0,2024-08-22 13:04:00,2024-08-23 16:55:28.740846,27.86,19.86
3091,Marketing,Content Writer,159,Ad campaign optimization,Ad campaign optimization for marketing team by content writer.,Medium,2.0,2024-08-22 13:09:00,2024-08-23 09:23:55.338756,20.25,18.25
8823,Engineering,Data Engineer,60,Write unit tests,Write unit tests for engineering team by data engineer.,Low,3.0,2024-08-22 13:13:00,2024-08-23 12:37:07.095540,23.4,20.4
6129,Engineering,QA Engineer,120,ETL batch debugging,ETL batch debugging for engineering team by qa engineer.,High,3.0,2024-08-22 13:18:00,2024-08-22 16:57:27.279018,3.66,0.6600000000000001
4248,Engineering,Frontend Engineer,188,Data pipeline monitoring,Data pipeline monitoring for engineering team by frontend engineer.,Low,8.0,2024-08-22 13:26:00,2024-08-26 10:00:01.407798,92.57,84.57
1016,Engineering,QA Engineer,25,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,11.0,2024-08-22 13:32:00,2024-08-26 10:07:02.126567,92.58,81.58
244,Marketing,SEO Specialist,63,Landing page copy,Landing page copy for marketing team by seo specialist.,Low,7.0,2024-08-22 13:52:00,2024-08-23 14:23:16.746331,24.52,17.52
5761,Engineering,Frontend Engineer,87,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,9.0,2024-08-22 14:12:00,2024-08-29 13:14:23.885768,167.04,158.04
5497,Operations,Logistics Coordinator,40,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,8.0,2024-08-22 14:23:00,2024-08-26 12:00:05.263324,93.62,85.62
2592,Engineering,Backend Engineer,122,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,4.0,2024-08-22 14:39:00,2024-08-23 10:34:08.677752,19.92,15.920000000000002
5986,Marketing,Content Writer,75,Email campaign setup,Email campaign setup for marketing team by content writer.,Medium,7.0,2024-08-22 14:46:00,2024-08-23 16:20:35.277367,25.58,18.58
87,Customer Support,Technical Support,4,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,1.0,2024-08-22 14:47:00,2024-08-22 15:30:19.268942,0.72,-0.28
3146,Engineering,Data Engineer,88,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,11.0,2024-08-22 14:59:00,2024-08-26 12:49:12.440350,93.84,82.84
2019,Engineering,Data Engineer,166,Performance profiling,Performance profiling for engineering team by data engineer.,Low,11.0,2024-08-22 15:06:00,2024-08-26 14:40:30.643202,95.58,84.58
2893,Finance,Financial Analyst,157,Create budget forecast,Create budget forecast for finance team by financial analyst.,Low,4.0,2024-08-22 15:15:00,2024-08-23 13:32:30.629828,22.29,18.29
8620,Engineering,Data Engineer,73,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,5.0,2024-08-22 15:16:00,2024-08-23 13:48:11.248823,22.54,17.54
4091,Engineering,Frontend Engineer,17,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,12.0,2024-08-22 15:27:00,2024-08-26 11:20:37.229373,91.89,79.89
6145,Operations,Logistics Coordinator,185,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,7.0,2024-08-22 15:38:00,2024-08-23 15:49:23.280678,24.19,17.19
9220,Customer Support,Technical Support,107,Resolve technical issue,Resolve technical issue for customer support team by technical support.,High,2.0,2024-08-22 15:40:00,2024-08-23 11:47:27.869782,20.12,18.12
7773,Marketing,SEO Specialist,40,Prepare campaign assets,Prepare campaign assets for marketing team by seo specialist.,Medium,6.0,2024-08-22 15:46:00,2024-08-23 15:06:43.860939,23.35,17.35
5220,Engineering,Frontend Engineer,50,Implement new endpoint,Implement new endpoint for engineering team by frontend engineer.,Low,5.0,2024-08-22 15:46:00,2024-08-23 16:20:09.020047,24.57,19.57
1319,Marketing,Content Writer,132,Competitor research,Competitor research for marketing team by content writer.,Low,3.0,2024-08-22 15:53:00,2024-08-23 10:20:46.026745,18.46,15.46
2311,Engineering,QA Engineer,134,Refactor UI component,Refactor UI component for engineering team by qa engineer.,Low,2.0,2024-08-22 15:58:00,2024-08-22 16:28:00.000000,0.5,-1.5
806,Marketing,Social Media Manager,162,Landing page copy,Landing page copy for marketing team by social media manager.,Low,3.0,2024-08-22 16:18:00,2024-08-23 10:40:31.022332,18.38,15.379999999999999
8066,Engineering,Backend Engineer,182,Performance profiling,Performance profiling for engineering team by backend engineer.,Low,7.0,2024-08-22 16:23:00,2024-08-23 15:45:14.639346,23.37,16.37
2561,Operations,Logistics Coordinator,67,Inventory check,Inventory check for operations team by logistics coordinator.,Low,1.0,2024-08-22 16:29:00,2024-08-22 16:59:00.000000,0.5,-0.5
4349,Engineering,QA Engineer,180,Integration testing,Integration testing for engineering team by qa engineer.,Low,5.0,2024-08-22 16:39:00,2024-08-23 14:34:55.638724,21.93,16.93
7698,Engineering,Data Engineer,175,Database schema update,Database schema update for engineering team by data engineer.,Medium,3.0,2024-08-22 16:47:00,2024-08-23 14:24:33.436017,21.63,18.63
1918,Operations,Operations Associate,49,Inventory check,Inventory check for operations team by operations associate.,Low,6.0,2024-08-22 16:52:00,2024-08-26 10:14:01.118684,89.37,83.37
2077,Engineering,Frontend Engineer,26,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,3.0,2024-08-23 09:02:00,2024-08-23 10:31:09.665648,1.49,-1.51
4621,Operations,Operations Associate,33,Resource planning,Resource planning for operations team by operations associate.,Medium,1.0,2024-08-23 09:03:00,2024-08-23 10:24:35.695921,1.36,0.3600000000000001
2889,Finance,Accountant,58,Variance analysis,Variance analysis for finance team by accountant.,Medium,3.0,2024-08-23 09:04:00,2024-08-23 13:43:05.804176,4.65,1.6500000000000004
9024,Engineering,Backend Engineer,52,Database schema update,Database schema update for engineering team by backend engineer.,Medium,10.0,2024-08-23 09:17:00,2024-08-26 15:51:10.547186,78.57,68.57
293,Engineering,Frontend Engineer,20,Performance profiling,Performance profiling for engineering team by frontend engineer.,Low,5.0,2024-08-23 09:29:00,2024-08-23 16:33:47.754447,7.08,2.08
761,Marketing,SEO Specialist,168,Schedule social posts,Schedule social posts for marketing team by seo specialist.,Low,2.0,2024-08-23 09:40:00,2024-08-23 10:47:02.096398,1.12,-0.8799999999999999
3645,Engineering,Data Engineer,172,Integration testing,Integration testing for engineering team by data engineer.,Low,9.0,2024-08-23 10:00:00,2024-08-26 16:44:00.298054,78.73,69.73
585,Engineering,QA Engineer,197,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,9.0,2024-08-23 10:27:00,2024-08-29 09:35:51.689942,143.15,134.15
1958,Operations,Operations Associate,25,Inventory check,Inventory check for operations team by operations associate.,Low,2.0,2024-08-23 10:55:00,2024-08-23 13:38:41.505920,2.73,0.73
9451,Operations,Logistics Coordinator,196,Vendor follow-up,Vendor follow-up for operations team by logistics coordinator.,Low,5.0,2024-08-23 10:57:00,2024-08-26 09:13:35.404744,70.28,65.28
3054,Engineering,QA Engineer,100,Write unit tests,Write unit tests for engineering team by qa engineer.,Low,10.0,2024-08-23 11:05:00,2024-08-27 11:39:13.645564,96.57,86.57
5158,Engineering,Data Engineer,33,Data pipeline monitoring,Data pipeline monitoring for engineering team by data engineer.,Low,2.0,2024-08-23 11:09:00,2024-08-23 15:10:30.012054,4.03,2.0300000000000002
3522,Marketing,Social Media Manager,147,Prepare campaign assets,Prepare campaign assets for marketing team by social media manager.,Medium,4.0,2024-08-23 11:15:00,2024-08-23 16:29:54.264825,5.25,1.25
5921,Engineering,Frontend Engineer,168,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,3.0,2024-08-23 11:18:00,2024-08-23 16:08:23.341572,4.84,1.8399999999999999
1207,Engineering,Backend Engineer,152,ETL batch debugging,ETL batch debugging for engineering team by backend engineer.,High,4.0,2024-08-23 11:20:00,2024-08-23 14:21:03.790528,3.02,-0.98
1845,Engineering,Backend Engineer,184,Integration testing,Integration testing for engineering team by backend engineer.,Low,7.0,2024-08-23 11:37:00,2024-08-26 13:07:39.544012,73.51,66.51
5383,Finance,Accountant,154,Create budget forecast,Create budget forecast for finance team by accountant.,Low,8.0,2024-08-23 11:40:00,2024-08-26 14:09:13.712504,74.49,66.49
5874,Marketing,Content Writer,158,Write blog post,Write blog post for marketing team by content writer.,Low,8.0,2024-08-23 11:45:00,2024-08-26 15:51:24.994062,76.11,68.11
1877,Engineering,Data Engineer,73,ETL batch debugging,ETL batch debugging for engineering team by data engineer.,High,8.0,2024-08-23 12:00:00,2024-08-26 11:09:29.026127,71.16,63.16
8072,Customer Support,Technical Support,53,Respond to ticket,Respond to ticket for customer support team by technical support.,Low,2.0,2024-08-23 12:09:00,2024-08-23 12:44:55.894667,0.6,-1.4
4515,Engineering,Data Engineer,132,Implement new endpoint,Implement new endpoint for engineering team by data engineer.,Low,12.0,2024-08-23 12:12:00,2024-08-27 14:19:52.019310,98.13,86.13
5223,Customer Support,Support Agent,115,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,1.0,2024-08-23 12:16:00,2024-08-23 12:51:14.406117,0.59,-0.41000000000000003
4816,Engineering,Data Engineer,43,Integration testing,Integration testing for engineering team by data engineer.,Low,5.0,2024-08-23 12:28:00,2024-08-26 12:23:09.695399,71.92,66.92
9509,Operations,Logistics Coordinator,29,Warehouse audit,Warehouse audit for operations team by logistics coordinator.,Low,6.0,2024-08-23 12:33:00,2024-08-26 13:22:00.509106,72.82,66.82
5501,Operations,Operations Associate,12,Inventory check,Inventory check for operations team by operations associate.,Low,8.0,2024-08-23 12:36:00,2024-08-26 15:53:19.349541,75.29,67.29
3635,Engineering,Data Engineer,41,Fix backend API bug,Fix backend API bug for engineering team by data engineer.,High,4.0,2024-08-23 12:41:00,2024-08-26 09:11:45.036710,68.51,64.51
8460,Engineering,Frontend Engineer,8,Write frontend feature,Write frontend feature for engineering team by frontend engineer.,Low,2.0,2024-08-23 12:46:00,2024-08-23 13:16:00.000000,0.5,-1.5
231,Operations,Logistics Coordinator,18,Shipment scheduling,Shipment scheduling for operations team by logistics coordinator.,Low,6.0,2024-08-23 12:53:00,2024-08-26 10:58:24.558375,70.09,64.09
452,Finance,Accountant,61,Reconcile transactions,Reconcile transactions for finance team by accountant.,Low,5.0,2024-08-23 13:01:00,2024-08-26 12:01:16.717521,71.0,66.0
1607,Customer Support,Support Agent,67,Live chat assistance,Live chat assistance for customer support team by support agent.,Low,4.0,2024-08-23 13:02:00,2024-08-26 11:04:33.690953,70.04,66.04
8783,Finance,Financial Analyst,82,Invoice processing,Invoice processing for finance team by financial analyst.,Low,8.0,2024-08-23 13:31:00,2024-08-27 09:06:09.698872,91.59,83.59
1767,Finance,Financial Analyst,98,Month-end close preparation,Month-end close preparation for finance team by financial analyst.,Medium,7.0,2024-08-23 13:36:00,2024-08-26 13:34:55.588408,71.98,64.98
5782,Engineering,Frontend Engineer,73,Database schema update,Database schema update for engineering team by frontend engineer.,Medium,12.0,2024-08-23 13:47:00,2024-08-27 16:26:57.901504,98.67,86.67
6925,Engineering,Frontend Engineer,91,ETL batch debugging,ETL batch debugging for engineering team by frontend engineer.,High,9.0,2024-08-23 14:14:00,2024-08-26 12:22:04.991253,70.13,61.129999999999995
5603,Finance,Financial Analyst,1,Prepare monthly report,Prepare monthly report for finance team by financial analyst.,Medium,3.0,2024-08-23 14:16:00,2024-08-26 10:53:52.739616,68.63,65.63
3448,Engineering,Frontend Engineer,164,Fix backend API bug,Fix backend API bug for engineering team by frontend engineer.,High,5.0,2024-08-23 14:16:00,2024-08-26 14:49:55.369812,72.57,67.57
3284,Customer Support,Technical Support,2,Customer follow-up,Customer follow-up for customer support team by technical support.,Low,3.0,2024-08-23 14:19:00,2024-08-26 11:03:31.565259,68.74,65.74
148,Engineering,Frontend Engineer,55,Integration testing,Integration testing for engineering team by frontend engineer.,Low,6.0,2024-08-23 14:28:00,2024-08-26 14:29:22.342206,72.02,66.02
